Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Romance,6.0,83.0,Others,Others,Diwakar Babu (dialogues),Jagapati Babu,Others,Koti,Others,Nandamuri Hari,Others,September,Telugu,2
Comedy,6.7,83.0,Teja,Others,Teja,Jagapati Babu,Others,R. P. Patnaik,Others,Shankar,Others,June,Telugu,2
Others,5.4,85.0,Others,Others,Ramesh-Gopi (dialogues),Rajendra Prasad,Others,Others,Others,Others,Others,February,Telugu,1
Drama,4.7,83.0,Others,Ramoji Rao,Paruchuri Brothers,Others,Others,Others,S. Gopal Reddy,A. Sreekar Prasad,Ushakiran Movies,August,Telugu,2
Others,6.0,77.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,December,Telugu,3
Comedy,7.2,71.0,Others,Others,Others,Others,Others,Others,Others,Sreekar Prasad,Others,April,Tamil,1
Others,5.5,83.0,Others,Others,Others,Rajendra Prasad,Others,M. M. Srilekha,Others,Others,Others,November,Telugu,3
Others,7.2,90.0,Others,Others,Others,Others,Others,Songs:,Others,Others,Others,November,Tamil,1
Comedy,7.7,91.0,Others,Others,Others,Others,Others,Harris Jayaraj,Others,Suresh Urs,Others,February,Tamil,1
Drama,7.6,83.0,Others,Others,Others,Vikram,Soundarya,Others,Ram Prasad,Others,Others,January,Telugu,6
Romance,6.0,83.0,Others,Others,Others,Vikram,Others,Others,Others,Others,Others,March,Telugu,6
Action,7.3,81.0,B. Gopal,C. Ashwini Dutt,Others,Chiranjeevi,Arti Agarwal,Mani Sharma,V. S. R. Swamy,Others,Others,July,Telugu,2
Romance,7.3,87.0,Trivikram Srinivas,Sravanthi Ravi Kishore,Trivikram Srinivas,Tarun,Shriya Saran,Koti,Others,Sreekar Prasad,Sri Sravanthi Movies,October,Telugu,2
Action,6.9,90.0,Jayanth C. Paranjee,Others,Satyanand,Mahesh Babu,Others,Mani Sharma,Jayanan Vincent,Marthand K Venkatesh,Others,January,Telugu,1
Comedy,7.2,83.0,Others,Others,Others,Nagarjuna Akkineni,Others,R. P. Patnaik,S. Gopal Reddy,K. V. Krishna Reddy,Others,May,Telugu,0
Drama,7.1,81.0,Puri Jagannadh,Puri Jagannadh,Puri Jagannadh,Ravi Teja,Others,Chakri,Shyam K. Naidu,Others,Others,August,Telugu,4
Romance,6.9,83.0,Ravi Babu,Ravi Babu,Others,Allari Naresh,Others,Others,Others,Marthand K. Venkatesh,Others,May,Telugu,2
Comedy,8.3,85.0,K. Vijaya Bhaskar,Nagarjuna Akkineni,Trivikram Srinivas,Nagarjuna Akkineni,Others,Devi Sri Prasad,Sameer Reddy,A. Sreekar Prasad,Annapurna Studios,December,Telugu,0
Action,5.1,83.0,Others,DVV Danayya,Paruchuri Brothers (dialogues),Nandamuri Balakrishna,Simran,Mani Sharma,V. S. R. Swamy,Kotagiri Venkateswara Rao,Others,January,Telugu,1
Drama,6.2,78.0,Teja,Teja,Teja,Others,Sadha,R. P. Patnaik,Sameer Reddy,Shankar,Others,June,Telugu,1
Drama,4.5,83.0,B. Gopal,Chanti Addala,Paruchuri Brothers,Others,Others,R. P. Patnaik,Others,Others,Others,July,Telugu,4
Romance,6.3,85.0,Others,Daggubati Suresh Babu,Others,Tarun,Others,R. P. Patnaik,Sekhar V. Joseph,Marthand K. Venkatesh,Suresh Productions,January,Telugu,1
Action,5.3,86.0,Jayanth C. Paranjee,Others,Others,Prabhas,Others,R. P. Patnaik,Others,Marthand K. Venkatesh,Others,November,Telugu,4
Action,6.2,83.0,V. N. Aditya,Others,Others,Uday Kiran,Others,R. P. Patnaik,Others,Marthand K. Venkatesh,Others,June,Telugu,4
Romance,6.9,91.0,A. Karunakaran,Others,Others,Venkatesh,Bhoomika Chawla,Harris Jayaraj,Others,Marthand K Venkatesh,Others,April,Telugu,0
Comedy,6.7,83.0,E. V. V. Satyanarayana,E. V. V. Satyanarayana,Others,Others,Others,Devi Sri Prasad,Others,Marthand K. Venkatesh,E. V .V. Cinema,December,Telugu,3
Others,5.6,83.0,Others,YVS Chowdary,Others,Others,Others,M. M. Keeravani,Others,Kotagiri Venkateswara Rao,Others,May,Telugu,1
Comedy,6.1,83.0,Others,Adityaram,Others,Jagapathi Babu,Others,Koti,Others,Others,Others,December,Telugu,1
Others,4.2,83.0,Others,Others,Others,Tarun,Others,Others,Shyam K Naidu,Others,Others,June,Telugu,5
Action,6.1,75.0,V. V. Vinayak,Bellamkonda Suresh,Paruchuri Brothers (dialogues),Nandamuri Balakrishna,Shriya Saran,Mani Sharma,Others,Gautham Raju,Sri Sai Ganesh Productions,September,Telugu,0
Action,5.6,68.0,Others,R. B. Choudary,Paruchuri Brothers (dialogues),Jagapathi Babu,Others,S. A. Rajkumar,Shyam K. Naidu,Nandamuri Hari,Others,November,Telugu,0
Others,7.2,93.0,Srinu Vaitla,Others,Chintapalli Ramana,Others,Others,Devi Sri Prasad,Others,Others,Others,August,Telugu,4
Drama,5.8,83.0,Others,Others,Others,Others,Others,Yuvan Shankar Raja,Hari Anumolu,Gowtam Raju,Others,February,Telugu,3
Romance,6.0,83.0,Others,Others,Others,Others,Others,S. A. Rajkumar,Others,Others,Suresh Productions,March,Telugu,4
Romance,6.1,83.0,Others,Ramoji Rao,Others,Others,Others,Vidyasagar,Chota K. Naidu,Others,Ushakiran Movies,June,Telugu,4
Romance,4.1,74.0,Others,Others,Others,Mahesh Babu,Others,Mani Sharma,Others,Others,Others,November,Telugu,3
Romance,5.8,83.0,Bhimaneni Srinivasa Rao,Others,Others,Others,Others,Others,Others,Others,Others,March,Telugu,5
Tollywood,6.0,83.0,Others,Others,Others,Others,Others,Yuvan Shankar Raja,Others,Nandamuri Hari,Others,March,Telugu,4
Comedy,5.9,71.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,June,Others,3
Comedy,6.0,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,January,Kannada,3
Drama,4.7,80.0,Others,Others,Others,Others,Others,A. R. Rahman,Chota K. Naidu,V. T. Vijayan,Others,August,Tamil,0
Action,8.1,89.0,Gunasekhar,M. S. Raju,Gunasekhar,Mahesh Babu,Others,Mani Sharma,Sekhar V. Joseph,A. Sreekar Prasad,Sumanth Art Productions,January,Telugu,2
Action,7.8,79.0,V. V. Vinayak,Others,A. R. Murugadoss,Chiranjeevi,Others,Mani Sharma,Chota K. Naidu,Gowtham Raju,Others,September,Telugu,2
Romance,4.7,81.0,K. Raghavendra Rao,Allu Aravind,Others,Allu Arjun,Others,Others,Chota K. Naidu,Kotagiri Venkateswara Rao,Others,March,Telugu,3
Action,7.5,82.0,S.S. Rajamouli,Others,Others,Jr. NTR,Bhoomika Chawla,M. M. Keeravani,K. Ravindra Babu,Kotagiri Venkateswara Rao,Others,July,Telugu,0
Tollywood,6.8,87.0,Others,Akkineni Nagarjuna,Others,Sumanth,Genelia D'Souza,Chakri,Sameer Reddy,Nandamuri Hari,Others,December,Telugu,2
Bollywood,7.1,90.0,V.V. Vinayak,Dil Raju,Others,Nitin,Others,R. P. Patnaik,Others,Others,Sri Venkateswara Creations,April,Telugu,4
Action,4.4,83.0,Others,A.M. Ratnam,Paruchuri Brothers,Jr. NTR,Others,Vidyasagar,K. Ravindra Babu,Kola Bhaskar,Others,January,Telugu,2
Action,5.1,86.0,Others,Others,Posani Krishna Murali,Others,Others,Mani Sharma,Others,Others,Others,March,Telugu,4
Tollywood,7.1,83.0,Others,Others,G. Neelakanta Reddy,Others,Bhoomika Chawla,Vandemataram Srinivas,Others,Others,Others,November,Telugu,5
Romance,6.2,91.0,Others,Sravanthi Ravi Kishore,Others,Tarun,Others,Koti,Others,Others,Sri Sravanthi Movies,October,Telugu,4
Drama,8.2,83.0,Chandra Sekhar Yeleti,Others,Others,Others,Others,Kalyani Malik,K. K. Senthil Kumar,Others,Others,April,Telugu,4
Drama,7.3,82.0,Puri Jagannadh,Puri Jagannadh,Puri Jagannadh,Ravi Teja,Others,Chakri,Shyam K Naidu,Others,Others,April,Telugu,3
Family,7.1,83.0,Others,Others,Others,Others,Others,Mani Sharma,Others,Gowtam Raju,Others,July,Telugu,4
Romance,5.8,88.0,Others,Others,Others,Tarun,Others,R. P. Patnaik,S. Gopal Reddy,Others,Others,June,Telugu,2
Romance,6.3,84.0,Puri Jagannadh,Puri Jagannadh,Others,Nagarjuna Akkineni,Others,Chakri,Shyam K. Naidu,Marthand K. Venkatesh,Others,October,Telugu,0
Romance,7.6,89.0,Others,Others,Others,Others,Others,M. M. Keeravani,Others,Others,Anandi Art Creations,October,Telugu,6
Romance,5.6,87.0,Others,Others,Others,Tarun,Shriya Saran,A. R. Rahman,Others,Others,Others,December,Telugu,4
Drama,5.3,83.0,Others,Others,Others,Ravi Teja,Arti Agarwal,Chakri,Others,Others,Others,October,Telugu,2
Romance,5.6,83.0,Others,Teja,Teja,Nitin,Others,R. P. Patnaik,Others,Others,Others,July,Telugu,3
Comedy,5.1,83.0,Bhimaneni Srinivasa Rao,Others,Others,Ravi Teja,Kalyani,Vidyasagar,Others,Gowtam Raju,Others,August,Telugu,3
Action,6.7,88.0,Teja,Teja,Teja,Mahesh Babu,Others,R. P. Patnaik,Sameer Reddy,Shankar,Others,May,Telugu,1
Action,2.9,83.0,B. Gopal,Others,Paruchuri Brothers (dialogues),Nandamuri Balakrishna,Arti Agarwal,Mani Sharma,V. S. R. Swamy,Kotagiri Venkateswara Rao,Others,June,Telugu,1
Action,5.4,84.0,Others,Allu Aravind,Others,Pawan Kalyan,Others,Ramana Gogula,Chota K. Naidu,Others,Geetha Arts,April,Telugu,0
Comedy,4.7,83.0,Others,B. V. S. N. Prasad,Others,Ravi Teja,Others,M. M. Keeravani,Others,Others,Sri Venkateswara Cine Chitra,January,Telugu,3
Others,5.8,83.0,E. V. V. Satyanarayana,Others,Janardhan Maharshi (dialogues),Rajendra Prasad,Others,M. M. Keeravani,Others,Gowtham Raju,Others,December,Telugu,2
Comedy,6.9,83.0,S. V. Krishna Reddy,Allu Aravind,Chintapalli Ramana (dialogues),Srikanth,Others,Mani Sharma,Others,Others,Others,January,Telugu,5
Others,5.7,83.0,Ravi Babu,Others,Others,Others,Others,Chakri,Others,Marthand K Venkatesh,Anandi Art Creations,January,Telugu,4
Comedy,6.6,83.0,Others,Others,Others,Jagapati Babu,Kalyani,Chakri,Others,Others,Others,February,Telugu,1
Romance,5.3,83.0,Others,Others,Others,Others,Others,Yuvan Shankar Raja,Others,Others,Others,August,Telugu,3
Romance,5.3,83.0,Others,Others,Janardhan Maharshi,Rajendra Prasad,Others,Others,Others,Others,Others,November,Telugu,1
Drama,4.6,75.0,Others,D. Suresh Babu,Paruchuri Brothers,Uday Kiran,Shriya Saran,R. P. Patnaik,Others,Marthand K. Venkatesh,Suresh Productions,August,Telugu,2
Others,6.0,83.0,S. V. Krishna Reddy,Others,Others,Others,Others,S. V. Krishna Reddy,Others,Others,Others,September,Telugu,4
Drama,7.9,79.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,April,Kannada,1
Romance,5.7,83.0,Others,Others,Others,Others,Others,Mani Sharma,Others,Marthand K Venkatesh,Others,November,Telugu,3
Romance,7.2,86.0,Others,M.S. Raju,Paruchuri Brothers (dialogues),Prabhas,Trisha,Devi Sri Prasad,S. Gopal Reddy,K. V. Krishna Reddy,Sumanth Art Productions,January,Telugu,0
Comedy,7.9,85.0,Sukumar,Dil Raju,Sukumar,Allu Arjun,Others,Devi Sri Prasad,R. Rathnavelu,Marthand K. Venkatesh,Sri Venkateswara Creations,May,Telugu,1
Comedy,7.8,93.0,Sekhar Kammula,Others,Sekhar Kammula,Others,Others,Others,Others,Marthand K. Venkatesh,Others,October,Telugu,2
Comedy,7.8,89.0,K. Vijaya Bhaskar,D.Suresh Babu,Trivikram Srinivas,Venkatesh,Others,Koti,Sameer Reddy,Sreekar Prasad,Suresh Productions,February,Telugu,0
Action,5.7,76.0,Others,Others,Satyanand,Chiranjeevi,Others,Mani Sharma,Chota K. Naidu,Others,Others,January,Telugu,3
Drama,8.5,90.0,Others,Others,Others,Rajendra Prasad,Others,R. P. Patnaik,Others,Others,Others,December,Telugu,0
Action,6.6,88.0,Gunasekhar,Others,Gunasekhar,Mahesh Babu,Shriya Saran,Mani Sharma,Sekhar V. Joseph,A. Sreekar Prasad,Others,August,Telugu,2
Action,6.3,83.0,Others,Others,Marudhuri Raja (dialogues),Gopichand,Others,Mani Sharma,Others,Gautham Raju,Others,July,Telugu,1
Action,3.7,67.0,Puri Jagannadh,Others,Kona Venkat,Jr. NTR,Others,Chakri,Shyam K. Naidu,Marthand K. Venkatesh,Others,January,Telugu,2
Romance,7.2,84.0,Srinu Vaitla,Others,Kona Venkat,Ravi Teja,Sneha,Devi Sri Prasad,Prasad Murella,Others,Others,March,Telugu,4
Action,7.2,83.0,S. V. Krishna Reddy,Others,Diwakar Babu (dialogues),Jagapati Babu,Others,Others,K. Ravindra Babu,Marthand K. Venkatesh,Others,January,Telugu,1
Action,6.6,73.0,Jayanth C. Paranjee,Bellamkonda Suresh,Paruchuri Brothers (dialogues),Nandamuri Balakrishna,Others,Mani Sharma,Others,Marthand K. Venkatesh,Sri Sai Ganesh Productions,January,Telugu,0
Comedy,5.1,83.0,Others,Others,Others,Rajendra Prasad,Others,Chakri,Sarath,Shankar,Others,June,Telugu,1
Comedy,7.4,88.0,Jayanth C. Paranjee,Others,Others,Chiranjeevi,Others,Devi Sri Prasad,Others,Marthand K. Venkatesh,Others,October,Telugu,2
Bollywood,5.3,85.0,V. N. Aditya,Others,Paruchuri Brothers (dialogues),Nagarjuna Akkineni,Arti Agarwal,M. M. Keeravani,Others,Marthand K. Venkatesh,Others,April,Telugu,0
Romance,7.4,85.0,S.S. Rajamouli,Others,M. Ratnam (Dialogue),Others,Genelia D'Souza,M. M. Keeravani,Others,Kotagiri Venkateswara Rao,Others,September,Telugu,1
Romance,5.1,81.0,V.V. Vinayak,Others,Kona Venkat,Jr. NTR,Bhoomika Chawla,Mani Sharma,K. Ravindra Babu,Gautham Raju,Others,June,Telugu,2
Romance,5.6,83.0,Others,Others,Others,Others,Others,Others,Others,Gowtham Raju,Others,October,Telugu,4
Romance,6.1,83.0,Others,Adityaram,Others,Jagapati Babu,Others,S. A. Rajkumar,Others,Others,Others,April,Telugu,2
Family,1.9,83.0,Others,Others,Others,Ravi Teja,Others,Others,Prasad Murella,Kotagiri Venkateswara Rao,Others,November,Telugu,2
Action,5.8,84.0,Others,Others,Others,Pawan Kalyan,Others,Mani Sharma,Chota K. Naidu,Others,Others,September,Telugu,2
Action,7.4,88.0,Others,Others,Others,Venkatesh,Others,Harris Jayaraj,Others,Anthony,Others,July,Telugu,0
Drama,7.8,85.0,Others,Others,Others,Others,Others,Yuvan Shankar Raja,Others,Kola Bhaskar,Others,October,Tamil,1
Others,7.4,81.0,Others,Others,Others,Others,Others,A. R. Rahman,Others,A. Sreekar Prasad,Others,May,Hindi,1
Romance,7.2,89.0,Others,Bellamkonda Suresh,Others,Ravi Teja,Bhoomika Chawla,M. M. Keeravani,Others,Others,Others,August,Telugu,5
Romance,5.3,87.0,Others,Manjula Ghattamaneni,Others,Mahesh Babu,Others,A. R. Rahman,Others,Others,Others,May,Telugu,3
Action,5.4,83.0,Others,Sravanthi Ravi Kishore,Others,Sumanth,Others,Koti,Others,A. Sreekar Prasad,Sri Sravanthi Movies,September,Telugu,4
Others,2.6,83.0,Jayanth C. Paranjee,Others,Others,Others,Others,Mani Sharma,Others,Marthand K. Venkatesh,Others,December,Telugu,4
Romance,4.2,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,July,Telugu,6
Action,5.7,93.0,Teja,Others,Others,Navdeep,Others,Others,Others,Shankar,Others,March,Tamil,4
Others,6.3,68.0,Others,Others,Others,Allari Naresh,Others,Vidyasagar,Ram Prasad,Others,Others,April,Telugu,4
Comedy,7.5,83.0,Others,Others,Chintapalli Ramana (dialogues),Manoj Manchu,Sadha,Others,Others,Marthand K. Venkatesh,Others,August,Telugu,2
Comedy,5.7,80.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,October,Tamil,2
Comedy,6.2,83.0,Others,Others,Ramesh-Gopi (dialogues),Jagapathi Babu,Kalyani,Chakri,Others,Marthand K. Venkatesh,Others,April,Telugu,1
Action,2.1,83.0,Others,Others,M. Ratnam (dialogues),Nandamuri Balakrishna,Others,Koti,V. S. R. Swamy,Kotagiri Venkateswara Rao,Others,December,Telugu,1
Others,3.7,83.0,Others,Others,Others,Rajendra Prasad,Others,Others,Others,K. V. Krishna Reddy,Others,November,Telugu,2
Comedy,4.9,83.0,Others,Allu Aravind,Chintapalli Ramana,Srikanth,Others,Others,Others,Marthand K. Venkatesh,Others,August,Telugu,2
Others,6.0,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,February,Telugu,8
Comedy,8.3,92.0,Trivikram Srinivas,Others,Trivikram Srinivas,Mahesh Babu,Trisha Krishnan,Mani Sharma,K. V. Guhan,Sreekar Prasad,Others,August,Telugu,1
Comedy,5.1,65.0,Puri Jagannadh,Nagarjuna Akkineni,Puri Jagannadh,Nagarjuna Akkineni,Anushka Shetty,Others,Shyam K. Naidu,Marthand K. Venkatesh,Annapurna Studios,July,Telugu,1
Action,6.7,80.0,Boyapati Srinu,Dil Raju,Others,Ravi Teja,Others,Devi Sri Prasad,Others,Marthand K. Venkatesh,Sri Venkateswara Creations,May,Telugu,3
Romance,7.7,89.0,Others,M.S. Raju,Paruchuri Brothers,Others,Trisha Krishnan,Devi Sri Prasad,Others,Others,Sumanth Art Productions,January,Telugu,0
Romance,6.1,69.0,A. Karunakaran,Others,Kona Venkat,Pawan Kalyan,Shriya Saran,Mani Sharma,Others,Kotagiri Venkateswara Rao,Others,January,Telugu,3
Action,6.8,83.0,Surender Reddy,Others,Others,Others,Others,Mani Sharma,Ram Prasad,Gowtham Raju,N.T.R. Arts,May,Telugu,2
Romance,6.1,84.0,Krishna Vamsi,Others,Krishna Vamsi,Prabhas,Others,Chakri,Ram Prasad,Others,Others,March,Telugu,4
Action,7.7,82.0,Others,B. V. S. N. Prasad,M. Ratnam (Dialogue),Prabhas,Shriya Saran,M. M. Keeravani,K. K. Senthil Kumar,Kotagiri Venkateswara Rao,Sri Venkateswara Cine Chitra,September,Telugu,0
Comedy,3.6,83.0,K. Raghavendra Rao,Others,Others,Nitin,Trisha Krishnan,M. M. Keeravani,Others,Others,Others,September,Telugu,7
