Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Comedy,4.3,83.0,K. Raghavendra Rao,Ramoji Rao,Janardhan Maharshi (story / dialogues),Jagapati Babu,Soundarya,M. M. Srilekha,V. Srinivasa Reddy,Gautham Raju,Ushakiran Movies,September,Telugu,1
Comedy,5.5,83.0,S. V. Krishna Reddy,Burugupalli Sivaramakrishna,Diwakar Babu (dialogues),Jagapati Babu,Soundarya,S. V. Krishna Reddy,Sarath,Nandamuri Hari,Sri Venkateswara Art Films,April,Telugu,1
Drama,6.5,83.0,Sarath,M. S. Reddy,Paruchuri Brothers,Nandamuri Balakrishna,Krishnam Raju,Koti,V. S. R. Swamy,K. V. Krishna Reddy,Gayatri Films,January,Telugu,1
Others,6.0,83.0,Veeru K,Mahesh Rathi,Marudhuri Raja (dialogues),Rajendra Prasad,Rachana,Veeru K,Gadiraju Seenu,V. Nagi Reddy,Manisha Films[1],July,Telugu,3
Family,7.2,83.0,Udayasankar,D. Suresh Babu,Paruchuri Brothers(dialogues),Venkatesh,Simran,S. A. Rajkumar,K Ravindra Babu,Marthand K. Venkatesh,Suresh Productions,January,Telugu,1
Romance,4.8,83.0,K. Raghavendra Rao,K. Raghavendra Rao,Others,Akkineni Nageswara Rao,Sumanth,S. A. Rajkumar,Jayaram V.,Kotagiri Venkateswara Rao,Others,July,Telugu,4
Comedy,6.0,83.0,Raja Vannem Reddy,Sunkara Madhu Murali,P. Rajendra Kumar,Jagapati Babu,Srikanth,M. M. Keeravani,K. Prasad,A. Sreekar Prasad,Melody Multimedia,August,Telugu,2
Drama,5.7,87.0,Kodi Ramakrishna,M.S. Raju,Jonnavithhula Ramalingeswara Rao(Dialogues),Venkatesh,Soundarya,Mani Sharma,S. Gopal Reddy,Suresh Tata,Sumanth Art Productions,January,Telugu,0
Action,6.9,81.0,S.S. Rajamouli,K. Raghavendra Rao,Pruthvi Raj (Dialogue),Jr NTR,Gajala,M. M. Keeravani,Hari Anumolu,Kotagiri Venkateswara Rao,Others,September,Telugu,1
Action,7.9,88.0,S. J. Surya,A.M. Ratnam,Rajendra Kumar [1],Pawan Kalyan,Bhoomika Chawla,Mani Sharma,P. C. Sreeram,B. Lenin,Others,April,Telugu,3
Action,4.4,77.0,Gunasekhar,Devi Vara Prasad,Yandamoori Veerendranath(Script Assist.),Chiranjeevi,Simran,Mani Sharma,Sekhar V. Joseph,Kotagiri Venkateshwara Rao,Others,January,Telugu,2
Comedy,8.7,84.0,K. Vijaya Bhaskar,Sravanthi Ravi Kishore-priya,Trivikram Srinivas,Venkatesh,Arti Agarwal,Koti,K. Ravindra Babu,A. Sreekar Prasad,Sri Sravanthi Movies,September,Telugu,0
Comedy,7.9,86.0,Krishna Vamsi,N Devi Prasad,Sobhan (dialogues),Mahesh Babu,Sonali Bendre,Mani Sharma,Ram Prasad,Krishna Vamsi,Ram Prasad Arts,February,Telugu,2
