Year,Movie,Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Screenplay by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Running time,Language
2008,Homam,Action,5.6,, J. D. Chakravarthy , Kiran Kumar Koneru , Kona Venkat (dialogues) , J. D. Chakravarthy , Jagapathi Babu , J.D. Chakravarthy , Nithin Raikwar , Bharani K Dharan , Bhanodaya , Shreya Productions ,29-August-2008, 142 mins , Telugu 
2008,Ninna Nedu Repu,World cinema,,, Lakshmikant Chenna , Nukarapu Surya Prakasa Rao ,,, Ravi Krishna , Rekha Vedavyas , Anil ,,,,9-October-2008,, Telugu 
2008,Gunde Jhallumandi,,5.8,, Madan , Paruchuri Sivaram Prasad , Madan (story/screenplay/dialogues) ,, Uday Kiran , Aditi Sharma , M. M. Keeravani , J. Prabhakar Reddy , K. V. Krishna Reddy , United Movies ,12-September-2008, 2 hours, Telugu 
2008,Swagatam,Drama,5.8,, Dasarath , Adityaram , Dasarath , Gopimohan , Jagapati Babu , Anushka Shetty , R. P. Patnaik , Ramesh , M.R. Varma , Adityaram Movies ,25-January-2008, 154 minutes , Telugu 
2008,Bommana Brothers Chandana Sisters,Comedy,5.9,, Srinivasa Reddy , Ammiraju Kanumilli , UNKNOWN ,, Allari Naresh , Krishna Bhagavaan , M. M. Srilekha , Adusumilli Vijaykumar , Marthand K. Venkatesh ,,18-April-2008,, Telugu 
2008,Kalidasu,World cinema,3.7,, G. Ravicharan Reddy , Chinthalapudi Srinivasa Rao , G. Ravicharan Reddy (dialogues ) , G. Ravicharan Reddy , Sushanth , Tamannaah , Chakri , Akhilan , Goutham Raju , Sri Nag Corporation ,11-April-2008,, Telugu 
2008,Ullasamga Utsahamga,Romance,6.9,96%, A. Karunakaran , G. S. Ranganath , A. Karunakaran (story & screenplay) ,, Yasho Sagar , Sneha Ullal , G. V. Prakash Kumar , I. Andrew , Marthand K. Venkatesh , Amruth Amarnath Arts ,17-July-2008,, Telugu 
2008,Nenu Meeku Telusa...?,Thriller,7.5,, Ajay Sastry , Lakshmi Manchu ,,, Manoj Manchu , Sneha Ullal , Achu & Dharan , Sunil K. Reddy ,, Sree Lakshmi Prasanna Pictures ,08/10/2008,, Telugu 
2008,Ankit  Pallavi & Friends,Drama,5/1,, Hari Yelleti , Kishore Ganji ,,, Nikhil Siddharth , Megha Burman , Vinu Thomas , Malini Dasari ,,,,, Telugu 
2008,Nachavule,Romance,7/1,83%, Ravi Babu , Ramoji Rao , Ravi Babu ( dialogues) , Satyanand , Tanish , Maadhavi Latha , Shekar Chandra , Nixon , Marthand K. Venkatesh , Ushakiran Movies ,12-December-2008, 2:12:39 , Telugu 
2008,Neninthe,Drama,6.8,93%, Puri Jagannadh , DVV Danayya , Puri Jagannadh ,, Ravi Teja, Siya Gowtham , Chakri , Shyam K Naidu ,,,19-December-2008,, Telugu 
2008,Aatadista,Comedy,4.3,, Ravikumar Chowdary , C Kalyan and S Vijayanand , Ravikumar Chowdary ,, Nitin , Kajal Aggarwal , Chakri , Jawahar Reddy ,,,20-March-2008,, Telugu 
2008,Raksha,Horror,5.8,, Vamsikrishna Akella , Azam Khan , Jeevan Reddy (dialogues) , Vamsikrishna Akella , Jagapati Babu , Kalyani , Bopi Tutul , Surjodeep Ghosh. , Bhanodaya , One More Thought Entertainment ,19-September-2008, 116 minutes , Telugu 
2008,Baladur,Comedy,3.8,, Udayasankar , D Ramanaidu , Udayasankar ,, Ghattamaneni Krishna , Ravi Teja , K. M. Radha Krishnan , B. Balamurugan , Marthand K. Venkatesh ,,15-August-2008,, Telugu 
2008,Okka Magaadu,Comedy,2.2,57%, YVS Chowdary , YVS Chowdary , Chintapalli Ramana (dialogues) , YVS Chowdary , Nandamuri Balakrishna , Anushka Shetty , Mani Sharma , Madhu A Naidu , Kotagiri Venkateswara Rao , Bommarillu[1] ,11-January-2008, 171 minutes , Telugu 
2008,Pourudu,Action,5.4,, Raj Aditya , D.Supriya , Raj Aditya ,, Sumanth , Kajal Aggarwal , Mani Sharma , Sudhakar Yekkanti ,, SS Creations ,13-January-2008,, Telugu 
2008,Nagaram,Action,4.3,, CC Srinivas , M. Anjibabu , Swamiji-Vijay ,, Jagapati Babu , Srikanth , Chakri , Sarath , Gautham Raju , Mac Media-Blue Sky Entertainment[1] ,6-March-2008, 148 minutes , Telugu 
2008,Keka,Tollywood,5/1,, Teja , Teja , Teja ,, Raja , Ishana , Chakri , P. C. Sreeram , Shankar ,,23-October-2008,, Telugu 
2008,Lakshmi Putrudu,Drama,,, Raj Kapoor , Polisetty Rambabu ,, Raj Kapoor , Uday Kiran , Diya , D. Imman , Suresh ,,,29-February-2008, 145 mins , Telugu 
2008,John Appa Rao 40 Plus,Tollywood,4.4,, Kuchipudi Venkat , Kuchipudi Venkat , Kuchipudi Venkat ,, Krishna Bhagavan , Simran , Kiran Varanasi http://www.filmibeat.com/celebs/kiran-varanasi.html , V. Gopinath ,,,20-March-2008,, Telugu 
2008,Donga Sachinollu,Tollywood,,, Raja Vannemreddy , J. Sambhasiva Rao ,,, Krishna Bhagavan , Raghu Babu , M.M. Sreelekha ,,,,,, Telugu 
2008,Visakha Express,Drama,4.8,, Mullapudi Vara , Tulasi Gopal , Chandra Sekhar Yeleti ,, Allari Naresh , Rajiv Kanakala , Vijay Kurakula , P.K.H. Das ,,,8-February-2008,, Telugu 
2008,Premabhishekam,Tollywood,4.3,, S. S. Vikram Gandhi , Venu Madhav ,,, Venu Madhav , Priya Mohan ,,,,,14-March-2008, 157 min. , Telugu 
2008,Avakai Biryani,Romance,6.7,88%, Anish Kuruvilla , Sekhar Kammula , Anish Kuruvilla ,, Kamal Kamaraju , Bindu Madhavi , Manikanth Kadri , Shamdat , Praveen Boyina , Amigoes Creations Pvt Ltd ,14-November-2008, 140 minutes , Telugu 
2008,Hare Ram,Action,6.7,, Harshavardhan , Kalyan Ram , Gowri Shankar ,, Kalyan Ram , Priyamani , Mickey J Meyer , Ram Prasad , Gowtham Raju , N.T.R. Arts ,18-July-2008, 157 min. , Telugu 
2008,Yuvatha,World cinema,5.9,, Parasuram , Hari Tumma ,,, Nikhil Siddharth , Aksha Pardasany , Mani Sharma , Jaswanth , Marthand K. Venkatesh ,,7-November-2008,, Telugu 
2008,Brahmanandam Drama Company,Comedy,2.6,, E. Srikanth Nahatha l , Palli Kesava Rao and K Kishore Reddy ,,, Sivaji , Brahmanandam , Sai Karthik ,,,,11-July-2008,, Telugu 
2009,Magadheera,Action,7.7,81%, S. S. Rajamouli , Allu Aravind , M. Rathnam , S. S. Rajamouli , Ram Charan , Kajal Aggarwal , M. M. Keeravani , K. K. Senthil Kumar , Kotagiri Venkateswara Rao , Geetha Arts ,31-July-2009, 166 minutes , Telugu 
2009,Arundhati,Horror,7.3,85%, Kodi Ramakrishna , M Shyam Prasad Reddy , Chintapalli Ramana ,, Anushka Shetty , Sonu Sood , Koti , K. K. Senthil Kumar , Marthand K Venkatesh , Mallemala Entertainments ,16-January-2009,, Telugu 
2009,Arya 2,Action,7.3,89%, Sukumar , Aditya Babu , Sukumar ,, Allu Arjun , Navdeep , Devi Sri Prasad , B. Rajasekar , Marthand K. Venkatesh ,,27-November-2009, 165 minutes , Telugu 
2009,Billa,Action,6.1,80%, Meher Ramesh , D Narendra, Salim Khan ,, Prabhas , Anushka Shetty , Mani Sharma , S. Soundar Rajan , Marthand K. Venkatesh , Gopikrishna Movies Pvt Ltd ,3-April-2009,, Telugu 
2009,Konchem Ishtam Konchem Kashtam,Romance,7.1,93%, Kishore Kumar Pardasani (Dolly) , Nallamalapu Srinivas (Bujji) , Kishore Kumar Pardasani (Dolly) ,, Siddharth , Tamannaah , Shankar-Ehsaan-Loy , Vijay Chakravarthy , A. Sreekar Prasad , Sri Lakshmi Narasimha Productions ,5-February-2009, 160 minutes (Telugu) , Telugu 
2009,Oy!,Romance,6.6,88%, Anand Ranga , DVV Danayya , Anand Ranga ,, Siddharth , Shamili , Yuvan Shankar Raja , Vijay K Chakravarthi , Marthand K Venkatesh , Universal Media ,3-July-2009, 166 minutes , Telugu 
2009,Anjaneyulu,Action,4.8,76%, Parasuram , Bandla Ganesh , Parasuram ,, Ravi Teja , Nayantara , S.Thaman , Ravindra Babu , Marthand K. Venkatesh , Parameswara Art Productions ,14-August-2009,, Telugu 
2009,Ek Niranjan,Music,5.5,84%, Puri Jagannadh , Adityaram Movies ,,, Prabhas Raju Uppalapati , Kangana Ranaut , Mani Sharma , Shyam K Naidu ,,,29-October-2009, 155 minutes , Telugu 
2009,Jayeebhava,Action,5.1,, Naren Kondepati , Nandamuri Kalyan Ram , Naren Kondepati ,, Nandamuri Kalyan Ram , Hansika Motwani , S. S. Thaman , Dasaradhi Sivendra , Gowtam Raju ,,23-October-2009[1],, Telugu 
2009,Mahathma,Action,6/1,77%, Krishna Vamsi , C R Manohar ,,, Srikanth, Bhavana , Vijay Antony , Sharat , Gautham Raju ,,9-October-2009,, Telugu 
2009,Prayanam,Romance,7.5,, Chandra Sekhar Yeleti , Seeta Yeleti , Chaitanya Muddana ,, Manoj Manchu , Payal Ghosh , Mahesh Shankar , Sarvesh Murari , Mohan Rama Rao ,,29-May-2009,, Telugu 
2009,Sasirekha Parinayam,Romance,5.2,77%, Krishna Vamsi , Sunkara Madhumurali , Krishna Vamsi ,, Tarun Kumar , Genelia D'Souza , Mani Sharma &vidyasagar , Samalabhasker , Shankar ,,January-1,, Telugu 
2009,Maska,Comedy,5.2,83%, B. Gopal , M.S.Raju ,,, Ram , Hansika Motwani , Chakri , Sekhar V Joseph , Kotagiri Venkateshwara Rao , Sumanth Art Productions ,14-January-2009,, Telugu 
2009,Mitrudu,Drama,5/1,, Mahadev , Sivalenka Krishna Prasad , M. Ratnam (dialogues) , Mahadev , Nandamuri Balakrishna , Priyamani , Mani Sharma , B. Balamurugan , Kola Bhaskar , Sridevi Movies ,1-May-2009, 154 mins , Telugu 
2009,Villagelo Vinayakudu,Comedy,6.7,, Sai Kiran Adivi , Mahi V Raghav , Sai Kiran Adivi ,, Krishnudu , Saranya Mohan , Manikanth Kadri , Ramana Salwa , Marthand K Venkatesh ,,5-November-2009,, Telugu 
2009,Kick,Comedy,7.8,87%, Surender Reddy , R. R. Venkat , Abburi Ravi , Surender Reddy , Ravi Teja , Ileana D'Cruz , S. Thaman , Rasool Ellore , Gautham Raju , R. R. Movie Makers ,8-May-2009, 155 mins , Telugu 
2009,Sankham,Comedy,5.3,, Siva , J Bhagavan , Anil Ravipudi (dialogues) , Siva , T. Gopichand , Trisha , S. Thaman , Vetri , Gautham Raju , Sri Balaji Cine Media ,11-September-2009, 155 minutes , Telugu 
2009,Bendu Apparao R.M.P,Comedy,6.8,79%, E V V Satyanarayana , D. Ramanaidu , Veligonda Srinivas (Dialogues ) ,, Allari Naresh , Kamna Jethmalani , Koti , V Jayaram , Gautham Raju , Suresh Productions ,16-October-2009,, Telugu 
2009,Bumper Offer,Romance,4.9,, Jaya Ravindra , Puri Jagannadh ,,, Sairam Shankar , Bindu Madhavi , Raghu Kunche ,,, Vaishno Academy ,23-October-2009,, Telugu 
2009,Josh,Action,6.2,89%, Vasu Varma , Dil Raju ,,, Naga Chaitanya , Karthika , Sandeep Chowtha , Sameer Reddy , Marthand K Venkatesh , Sri Venkateswara Creations ,5-September-2009, 170 minutes , Telugu 
2009,Current,Tollywood,5.6,72%, Palnati Surya Pratap ,, Srinivasa Rao Chinthalapudi , Palnati Surya Pratap , Sushanth , Sneha Ullal , Devi Sri Prasad , Vijaya Kumar C. , Martand K. Venkatesh ,,19-June-2009, 2:17:05 , Telugu 
2009,Kavya's Diary,Thriller,4.7,, V.K.Prakash , Manjula Ghattamaneni , Indira Productions Creative Unit ,, Manjula Ghattamaneni , Charmy Kaur , Manu Ramesan , Shyam Dutt ,, Indira Productions ,5-June-2009,, Telugu 
2009,Baanam,Action,7.2,79%, Chaitanya Dantuluri , Priyanka Dutt , Chaitanya Dantuluri ,, Nara Rohit , Vedhika , Mani Sharma , Anil Bhandari , Marthand K. Venkatesh ,,16-September-2009, 110 minutes , Telugu 
2009,Amaravathi,Thriller,6.6,, Ravi Babu , V. Anand Prasad , Ravi Babu,, Sneha , Bhumika Chawla , Shekar Chandra , Sudhakar Reddy ,, Bhavya Creations ,3-December-2009,, Telugu 
2009,Sontha Ooru,Drama,7.4,, P. Sunil Kumar Reddy , Y Ravindra Babu ,,, Raja , Thirtha , Saketh Sairam , Sabu James , Sri Guha , Sravya Productions ,21-March-2009, 120 mins , Telugu 
2009,Aa Okkadu,Thriller,6.8,, N S Murthy(Dakshin Srinivas) , Ganesh Indukuri , N S Murthy(Dakshin Srinivas) ,, Suresh Gopi , Ajay , Mani Sharma ,,,,29-May-2009,, Telugu 
2009,Kalavaramaye Madilo,Romance,6.3,, Satish Kasetty , Mohan Vadlapatla , Satish Kasetty ,, Kamal Kamaraju , Swati Reddy , Sharath ,, basava paidi reddy ,,17-July-2009, 142 minutes , Telugu 
2009,Ganesh,Romance,5/1,89%, M. Saravanan , Sravanthi Ravi Kishore , Sri Sravanthi Movies Team ,, Ram , Kajal Aggarwal , Mickey J Meyer , Hari Anumolu , Sreekar Prasad , Sri Sravanthi Movies ,24-September-2009,, Telugu 
2009,Raju Maharaju,Family,7.3,, Shankaranath Durga ,,,, Mohan Babu , Sharwanand , Chakri ,,,,19-June-2009, 155 min. , Telugu 
2009,Kurradu,Action,4.3,, Sandeep Gunnam , P. Kiran ,,, Varun Sandesh , Neha Sharma , Achu , Sarvesh Murari , Marthand K Venkatesh , Anandi Art Creations ,12-November-2009,, Telugu 
2009,Drona,Tollywood,4.5,73%, J.Karun Kumar , D.S. Rao ,,, Nitin , Priyamani , Anoop ,,,,20-February-2055,, Telugu 
2009,Evaraina Eppudaina,Romance,4.8,, Marthand K Shankar , M.Sarvanan , Marthand K Shankar ,, Varun Sandesh , Vimala Raman , Mani Sharma , Venugopaalan ,,,26-June-2009,, Telugu 
2009,Rechipo,Romance,3.4,, Parachuri Murali , G. V. Ramana , Parachuri Murali ,, Nitin , Ileana D'Cruz , Mani Sharma ,, Kotagiri Venkateswara Rao ,,25-September-2009,, Telugu 
2009,Kanthaswamy,Action,4.9,80%, Susi Ganesan , Kalaipuli S. Dhanu , Susi Ganesan ,, Vikram , Shriya Saran , Devi Sri Prasad , N. K. Ekambaram , Praveen K. L. , V. Creations ,21-August-2009, 195 minutes , Tamil 
